subjid,gender,age,field,English,tech problems,easier,time,comment
1,male,26-30,mathematics or engineering or computing,american,noprobs,easier,under10,I used the same type of description for each task - identifying the object by color and size.
2,male,26-30,mathematics or engineering or computing,american,noprobs,not-easier,under10, 
3,female,26-30,mathematics or engineering or computing,american,noprobs,easier,under10,It got easier once I realised that everything was going to be a small or big box or ball.
4,female,26-30,physical or natural sciences,american,noprobs,easier,under10, It seemed to get easier over time because I just used the same words to describe the scene and the same way of describing things.
5,female,20-25,mathematics or engineering or computing,american,noprobs,easier,under10, The task got easier as I realised over time that I needed to give less information.
6,male,20-25,mathematics or engineering or computing,american,noprobs,not-easier,under10,That was fun!
7,female,26-30,human or social sciences,british,noprobs,not-easier,under10, 
8,male,20-25,human or social sciences,american,noprobs,easier,under10,Task became easier over time: It felt as if after a two or three scenes I had identified a simple approach which I then adopted for the rest of the experiment.
9,female,20-25,mathematics or engineering or computing,american,noprobs,not-easier,under10, 
10,male,26-30,mathematics or engineering or computing,american,noprobs,maybe-easier,under10,Minor comment - your age ranges that we choose from at the beginning have overlap. E.g. being 30 I didn't know whether to pick 26-30 or 30-40 since I'm in both ranges. You should make the categories non-overlapping (26-30 31-40 etc.). I chose 26-30 since I figure I'm a young 30 :-)
11,female,20-25,human or social sciences,american,noprobs,not-easier,under10, 
13,female,30-40,physical or natural sciences,american,noprobs,maybe-easier,under10, 
14,female,20-25,physical or natural sciences,american,noprobs,not-easier,under10, 
15,male,26-30,mathematics or engineering or computing,american,noprobs,maybe-easier,under10, the number of adjectives i used to describe the thing i was picking up changed over time. of course it took a couple of scenes to realise that there may be better ways of describing exactly which ball/cube we were expected to pick up and that this may in fact be what you were referring to in trying to determine how we identify the objects.
16,male,30-40,cognitive science,british,noprobs,not-easier,under10, 
17,female,20-25,mathematics or engineering or computing,american,noprobs,maybe-easier,under10, 
18,female,20-25,physical or natural sciences,other,noprobs,not-easier,under10, 
23,male,30-40,languages,american,noprobs,not-easier,under10," It occurred to me that often locatives wouldn't really be necessary to instruct someone on what to pick up since in many cases the indicated object was the only one of its type in the scene.  So if there was one ball (in focus) and two cubes I normally wouldn't say ""pick up the ball in front of the leftmost cube.""  I'd say ""pick up the ball.""  I tend to overanalyze situations however so I usually included redundant locational information."
24,male,26-30,arts,american,noprobs,easier,under10, 
25,female,20-25,physical or natural sciences,american,noprobs,not-easier,under10,It was a good distraction from doing my risk assessment.
26,female,26-30,cognitive science,other,noprobs,not-easier,under10, 
27,male,20-25,mathematics or engineering or computing,american,noprobs,not-easier,under10, 
28,female,20-25,languages,american,noprobs,not-easier,under10, 
29,female,20-25,human or social sciences,american,noprobs,not-easier,under10, 
31,female,20-25,physical or natural sciences,american,noprobs,easier,under10, I realised I was providing superfluous information. Since there is only ever one object in the scene that is both say yellow AND a sphere there is no reason to be more specific. Hang on - did the instructions say be as descriptive as you can? I hope not.
32,female,20-25,physical or natural sciences,american,noprobs,not-easier,under10, 
33,female,20-25,mathematics or engineering or computing,american,noprobs,easier,under10, i could use a formula
34,male,20-25,physical or natural sciences,american,noprobs,not-easier,under10, 
35,male,20-25,mathematics or engineering or computing,american,noprobs,not-easier,under10, 
36,female,20-25,mathematics or engineering or computing,american,noprobs,easier,under10, It only took me less than one minute actually.  I couldn't help analysing my answers quickly after I'd written them but I didn't change them.  It affected my subsequent answers though.  Eg after it suddenly occured to me that I hadn't been referring to the colours at all then I started doing it.
