map;id;type;col;size;loc;on-top-of;next-to;right-of;left-of;under
1;c1;cube;blue;large;center;;b3;b3;;
1;c2;cube;green;large;left-hand;;b1;;;b1
1;c3;cube;blue;small;right-hand;;c4;;c4;
1;c4;cube;green;small;right-hand;;c3;c3;;
1;b1;ball;blue;large;left-hand;c2;c2;;;
1;b2;ball;blue;small;right-hand;;;;;
1;b3;ball;green;small;center;;c1;;c1;
2;c1;cube;red;large;center;;b2;;b2;
2;c2;cube;yellow;large;left-hand;;b1;;;b1
2;c3;cube;red;small;right-hand;;c4;c4;;
2;c4;cube;yellow;small;right-hand;;c3;;c3;
2;b1;ball;red;large;left-hand;c2;c2;;;
2;b2;ball;red;small;center;;c1;c1;;
2;b3;ball;yellow;small;left-hand,front;;;;;
3;c1;cube;blue;large;left-hand;;b3;;;c3
3;c2;cube;green;large;right-hand;;c3;;;c3
3;c3;cube;blue;small;right-hand;c2;c2;;;
3;c4;cube;green;small;center;;b1;;b1;
3;b1;ball;blue;large;center;;c4;c4;;
3;b2;ball;blue;small;left-hand;;;;;
3;b3;ball;green;small;left-hand;c1;c1;;;
4;c1;cube;red;large;center;;b2;;;b2
4;c2;cube;yellow;large;left-hand;;c3;;;c3
4;c3;cube;red;small;left-hand;c2;c2;;;
4;c4;cube;yellow;small;right-hand;;b3;b3;;
4;b1;ball;red;large;right-hand;;;;;
4;b2;ball;red;small;center;c1;c1;;;
4;b3;ball;yellow;small;right-hand;;c4;;c4;
5;c1;cube;red;large;center;;b3;;b3;
5;c2;cube;red;small;right-hand;;c3;c3;;
5;c3;cube;yellow;small;right-hand;;c2;;c2;
5;c4;cube;yellow;small;left-hand;;b1;;;b1
5;b1;ball;red;small;left-hand;c4;c4;;;
5;b2;ball;red;small;left-hand,front;;;;;
5;b3;ball;yellow;small;center;;c1;c1;;
6;c1;cube;blue;large;center;;b1;b1;;
6;c2;cube;blue;small;left-hand;;c4;;c4;
6;c3;cube;blue;small;right-hand;;b2;;;b2
6;c4;cube;green;small;left-hand;;c2;c2;;
6;b1;ball;blue;small;center;;c1;;c1;
6;b2;ball;green;small;right-hand;c3;c3;;;
6;b3;ball;green;small;right-hand,front;;;;;
7;c1;cube;red;large;center;;b3;;;b3
7;c2;cube;red;small;left-hand;;c3;;;
7;c3;cube;yellow;small;left-hand;c2;c2;;;
7;c4;cube;yellow;small;right-hand;;b1;b1;;
7;b1;ball;red;small;right-hand;;c4;;c4;
7;b2;ball;red;small;right-hand;;;;;
7;b3;ball;yellow;small;center;c1;c1;;;
8;c1;cube;blue;large;center;;b1;;;b1
8;c2;cube;blue;small;left-hand;c4;c4;;;
8;c3;cube;blue;small;right-hand;;b2;b2;;
8;c4;cube;green;small;left-hand;;c2;;;
8;b1;ball;blue;small;center;c1;c1;;;
8;b2;ball;green;small;right-hand;;c3;;c3;
8;b3;ball;green;small;right-hand,front;;;;;
9;c1;cube;red;large;left-hand;;b4;;;b4
9;c2;cube;red;small;center;;b2;b2;;
9;c3;cube;yellow;small;right-hand;;b3;;b3;
9;b1;ball;red;large;right-hand;;;;;
9;b2;ball;yellow;large;center;;c2;;c2;
9;b3;ball;red;small;right-hand;;c3;c3;;
9;b4;ball;yellow;small;left-hand;c1;c1;;;
