map;id;type;col;size;loc;in-front-of;on-top-of;next-to;right-of;left-of;under;behind
1;c1;cube;blue;large;left-hand;;;c2;;c2;;
1;c2;cube;blue;large;right-hand;;;b1,c1;c1;;b1;
1;b1;ball;green;small;right-hand;;c2;c2;;;;
2;c1;cube;yellow;large;left-hand;;;b1,c2;;c2;;b1
2;c2;cube;red;small;right-hand;;;c1;c1;;;
2;b1;ball;red;small;left-hand;c1;;c1;;;;
3;c1;cube;green;large;right-hand;;;b1,b2;b2;;b1;
3;b1;ball;blue;small;right-hand;;c1;c1;;;;
3;b2;ball;blue;large;left-hand;;;c1;;c1;;
4;c1;cube;yellow;large;left-hand;;;c2,c3;;c3;;c2
4;c2;cube;yellow;small;left-hand;c1;;c1;;;;
4;c3;cube;red;small;right-hand;;;c1;c1;;;
5;c1;cube;blue;small;right-hand;;c2;c2,b1;b1;;;
5;c2;cube;green;small;right-hand;;;c1,b1;b1;;c1;
5;b1;ball;blue;large;left-hand;;;c1,c2;;c1,c2;;
6;c1;cube;blue;large;left-hand;;;b1,c2;c2;;;b1
6;c2;cube;blue;large;right-hand;;;c1;;c1;;
6;b1;ball;green;small;left-hand;c1;;c1;;;;
7;c1;cube;yellow;small;left-hand;;;c2;;c2;;
7;c2;cube;red;large;right-hand;;;b1,c1;c1;;b1;
7;b1;ball;yellow;small;right-hand;;c2;c2;;;;
8;c1;cube;green;large;left-hand;;;b1,b2;;b2;;b1
8;b1;ball;blue;small;left-hand;c1;;c1;;;;
8;b2;ball;blue;large;right-hand;;;c1;c1;;;
9;c1;cube;red;small;right-hand;;c2;c2;;;;
9;c2;cube;red;large;right-hand;;;c1,c3;c3;;c1;
9;c3;cube;yellow;small;left-hand;;;c2;;c2;;
10;c1;cube;green;small;left-hand;;;c2,b1;;b1;;c2
10;c2;cube;blue;small;left-hand;c1;;c1,b1;;b1;;
10;b1;ball;blue;large;right-hand;;;c1,c2;c1,c2;;;
11;c1;cube;red;large;left-hand;;;b1,c2;;c2;b1;
11;c2;cube;red;large;right-hand;;;c1;c1;;;
11;b1;ball;yellow;small;left-hand;;c1;c1;;;;
12;c1;cube;blue;small;left-hand;;;c2,b1;;c2;;b1
12;c2;cube;green;large;right-hand;;;c1;c1;;;
12;b1;ball;blue;small;right-hand;c2;;c2;;;;
13;c1;cube;yellow;large;left-hand;;;b2,b1;;b2;b1;
13;b1;ball;red;small;left-hand;c1;;c1;;;;
13;b2;ball;red;large;right-hand;;;c1;c1;;;
14;c1;cube;green;large;right-hand;;;c2,c3;c3;;;c2
14;c2;cube;green;small;right-hand;c1;;c1;;;;
14;c3;cube;blue;small;left-hand;;;c1;;c1;;
15;c1;cube;yellow;small;left-hand;;c2;c2,b1;;b1;;
15;c2;cube;red;small;left-hand;;;c1,b1;;b1;c1;
15;b1;ball;yellow;large;right-hand;;;c1,c2;c1,c2;;;
16;c1;cube;yellow;large;left-hand;;;c2;;c2;;
16;c2;cube;yellow;large;right-hand;;;b1,c1;c1;;;b1
16;b1;ball;red;small;right-hand;c2;;c2;;;;
17;c1;cube;green;large;left-hand;;;b1,c2;;c2;b1;
17;c2;cube;blue;small;right-hand;;;c1;c1;;;
17;b1;ball;blue;small;left-hand;;c1;c1;;;;
18;c1;cube;yellow;large;right-hand;;;b1,b2;b2;;;b1
18;b1;ball;red;small;right-hand;c1;;c1;;;;
18;b2;ball;red;large;left-hand;;;c1;;c1;;
19;c1;cube;green;small;left-hand;;c2;c2;;;;
19;c2;cube;green;large;left-hand;;;c1,c3;;c3;c1;
19;c3;cube;blue;small;right-hand;;;c2;c2;;;
20;c1;cube;red;small;right-hand;c2;;c2,b1;b1;;;
20;c2;cube;yellow;small;right-hand;;;c1,b1;b1;;;c1
20;b1;ball;red;large;left-hand;;;c1,c2;;c1,c2;;
