id;type;name;other;in;right-to;left-to;between;next-to;in-front-of;behind;have;northeast;northwest;southeast;southwest
sub1;subway;baixa/chiado;;;;ban1;;ban1,rest5;rest5;;;;;;
rest5;restaurant;taberna do chiado;;;;;;sub1,ban1;;sub1;;;ban1;;
ban1;bank;;;str22;sub1;chur3;[sub1,chur3];sub1,chur3;;;;;;;
drug2;drugstore;internacional;;;drug3;;;drug5,drug6,drug3;;drug5;;;;;drug6
drug3;drugstore;;;;;drug2;;str12,drug2,chur3,cafe3;chur3,cafe3;;;;;;
chur3;church;;;str12;cafe3;drug3;[cafe3,drug3];drug3,cafe3;;;;;;;
cafe3;cafe;browns coffee shop;;str12,str13,pos7,pos8;drug3;chur3;[str12,str13];drug3,chur3;;;;;;;
drug5;drugstore;barral;;str23;;;;drug2,drug6;;drug2;;drug6;;;
drug6;drugstore;gouveia;;;drug5;;;drug5;;;;;;;
str12;street;rua da vitoria;;;str15;;;cafe3,pos7,str13,str15;;;cafe3,pos7,chur3;;;;
str13;street;rua dos sapateiros;;;;;;chur3,pos8,str12,str15;;;chur3,pos8;;;;
str15;street;rua da assuncao;;;;str12;;str13,str12;;;;;;;
str22;street;rua do carmo;;;;;;;;;ban1;;;;
str23;street;rua augusta;;;;;;;;;drug5;;;;
pos7;position;esquina da rua da vitoria;;str12;;;;cafe3;;;cafe3;;;;
pos8;position;esquina da rua dos sapateiros;;str13;;;;;;;;;;;
