trial;context;reference-type;minimal;length;id;type;others;hpos;vpos;next;left;right;landmark-type;landmark-others;second-landmark-type;second-landmark-others
1;abs1;fully-spec;no;4;e2;;;;;;q2;q1;box;white;box;red
1;abs3;fully-spec;no;4;e2;star;left(q2-q3-q4);;;;;q1;box;white;;
1;abs5;fully-spec;no;4;e3;star;right(q1..q5);;;;q6;;box;white;;
1;proj1;no-landmark;no;3;e2;star;between(q1..q2);;;;;;box;white;;
1;proj3;fully-spec;no;4;e4;star;right(q1..q2);;;;q4;;box;white;;
1;proj5;fully-spec;no;4;e2;star;right(q1..q3);;;;q6;;box;white;;
2;abs1;fully-spec;no;7;e2;star;;left;bottom;q2-c1;;;box;white;circle;white
2;abs3;fully-spec;no;4;e2;star;;left;;q1-c1;;;box;;circle;
2;abs5;fully-spec;no;4;e3;star;opposite(q1..q5);;;q6-c2;;;box;;circle;
2;proj1;fully-spec;no;5;e2;star;;left;bottom;q1-c1;;;box;;circle;
2;proj3;fully-spec;no;4;e4;star;;left;;q4-c2;;;box;;circle;
2;proj5;fully-spec;no;5;e2;star;;right;top;q6-c2;;;box;;circle;
3;abs1;fully-spec;no;3;e2;star;;;;q2;;;box;white;;
3;abs3;fully-spec;no;3;e2;star;;;;q1;;;box;white;;
3;abs5;fully-spec;no;3;e3;star;;;;q6;;;box;white;;
3;proj1;under-spec;yes;2;e2;star;;;;q1;;;box;;;
3;proj3;fully-spec;no;3;e4;star;;left;;q4;;;box;;;
3;proj5;under-spec;yes;2;e2;star;;;;q6;;;box;;;
4;abs1;under-spec;no;3;e2;star;colourless;;;q2;;;box;;;
4;abs3;under-spec;no;3;e2;star;colourless;;;q1;;;box;;;
4;abs5;under-spec;no;3;e3;star;colourless;;;q6;;;box;;;
4;proj1;under-spec;no;3;e2;star;colourless;;;q1;;;box;;;
4;proj3;under-spec;no;3;e4;star;colourless;;;q4;;;box;;;
4;proj5;under-spec;no;3;e2;star;colourless;;;q6;;;box;;;
5;abs1;fully-spec;no;4;e2;star;white;;;q2;;;box;white;;
5;abs3;fully-spec;no;3;e2;star;;;;;;q1;box;white;;
5;abs5;fully-spec;no;3;e3;star;;;;q6;;;box;white;;
5;proj1;under-spec;no;3;e2;star;;;;;;q1;box;white;;
5;proj3;under-spec;yes;2;e4;star;;;;;q4;;box;;;
5;proj5;under-spec;yes;2;e2;star;;;;q6;;;box;;;
6;abs1;fully-spec;no;4;e2;star;;right;top;q2;;;box;;;
6;abs3;no-landmark;no;2;e2;star;;left;top;;;;;;;
6;abs5;fully-spec;no;3;e3;star;;right;;q6;;;box;;;
6;proj1;fully-spec;no;4;e2;star;;left;top;q1;;;box;;;
6;proj3;fully-spec;no;3;e4;;;right;;q4;;;box;;;
6;proj5;fully-spec;no;4;e2;star;;right;top;q6;;;box;;;
7;abs1;fully-spec;no;3;e2;;;;;q2;;;box;colourless;;
7;abs3;fully-spec;no;5;e2;;;;;q1-c1;;;box;colourless;circle;colourless
7;abs5;fully-spec;no;3;e3;star;;;;q6;;;box;colourless;;
7;proj1;under-spec;yes;2;e2;;;;;q1;;;box;;;
7;proj3;under-spec;yes;2;e4;star;;;;q4;;;box;;;
7;proj5;under-spec;yes;2;e2;;;;;q6;;;box;;;
8;abs1;fully-spec;no;4;e2;star;;right;top;q2;;;box;;;
8;abs3;fully-spec;no;4;e2;star;;left;top;q1;;;box;;;
8;abs5;fully-spec;no;4;e3;star;;left;bottom;q6;;;box;;;
8;proj1;fully-spec;no;4;e2;star;;left;top;q1;;;box;;;
8;proj3;fully-spec;no;4;e4;star;;right;bottom;q4;;;box;;;
8;proj5;fully-spec;no;4;e2;star;;right;top;q6;;;box;;;
9;abs1;fully-spec;no;3;e2;;;;;;q2;;box;not-red;;
9;abs3;fully-spec;no;3;e2;;;;;q1;;;box;not-red;;
9;abs5;fully-spec;no;3;e3;;;;;;q6;;box;not-red;;
9;proj1;fully-spec;no;3;e2;;;;top;;;q1;box;;;
9;proj3;no-landmark;no;1;e4;;3rd-left-right;;;;;;;;;
9;proj5;no-landmark;no;1;e2;;3rd-left-right;;;;;;;;;
10;abs1;fully-spec;no;3;e2;star;;;;;q2;;box;colourless;;
10;abs3;fully-spec;no;3;e2;star;;;;q1;;;box;colourless;;
10;abs5;fully-spec;no;3;e3;star;;;;;q6;;box;colourless;;
10;proj1;under-spec;no;3;e2;star;;;;;;q1;box;colourless;;
10;proj3;under-spec;no;4;e4;star;colourless;;;;q4;;box;colourless;;
10;proj5;fully-spec;no;3;e2;star;;right;;;q6;;box;;;
11;abs1;under-spec;no;3;e2;;white;;;;q2;;box;;;
11;abs3;under-spec;yes;2;e2;;;;;;;q1;box;;;
11;abs5;under-spec;yes;2;e3;;;;;;q6;;box;;;
11;proj1;under-spec;yes;2;e2;;;;;;;q1;box;;;
11;proj3;under-spec;no;3;e4;;white;;;;q4;;box;;;
11;proj5;under-spec;no;3;e2;;white;;;;q6;;box;;;
12;abs1;fully-spec;no;3;e2;star;;;;;q2;;box;white;;
12;abs3;fully-spec;no;4;e2;star;;;;;;q1;box;white;circle;
12;abs5;fully-spec;no;4;e3;star;;right;;;q6-c2;;box;;circle;
12;proj1;fully-spec;no;4;e2;star;;left;;;;q1-c1;box;;circle;
12;proj3;fully-spec;no;4;e4;star;;right;;;q4-c2;;box;;circle;
12;proj5;fully-spec;no;4;e2;star;;right;;;q6-c2;;box;;circle;
13;abs1;under-spec;yes;2;e2;;;;;;q2;;box;;;
13;abs3;under-spec;yes;2;e2;;;;;;;q1;box;;;
13;abs5;under-spec;yes;2;e3;;;;;;q6;;box;;;
13;proj1;under-spec;yes;2;e2;;;;;;;q1;box;;;
13;proj3;under-spec;yes;2;e4;;;;;;q4;;box;;;
13;proj5;under-spec;yes;2;e2;;;;;;q6;;box;;;
14;abs1;fully-spec;no;4;e2;star;;right;;q2;;;box;white;;
14;abs3;fully-spec;no;4;e2;star;;left;;q1;;;box;white;;
14;abs5;fully-spec;no;4;e3;star;;right;;q6;;;box;white;;
14;proj1;fully-spec;no;4;e2;star;;left;;;;q1;box;white;;
14;proj3;fully-spec;no;4;e4;star;;right;;;q4;;box;white;;
14;proj5;fully-spec;no;4;e2;star;;right;;q6;;;box;white;;
15;abs1;fully-spec;no;3;e2;star;;;;;q2;;box;white;;
15;abs3;fully-spec;no;3;e2;star;;;;;;q1;box;white;;
15;abs5;fully-spec;no;3;e3;star;;;;;q6;;box;white;;
15;proj1;fully-spec;no;4;e2;star;;;top;;;q1;box;white;;
15;proj3;fully-spec;no;4;e4;star;;right;;;q4;;box;white;;
15;proj5;fully-spec;no;6;e2;star;;right;;;q6-c2;;box;white;circle;white
16;abs1;fully-spec;no;3;e2;star;;;;;q2;;box;white;;
16;abs3;fully-spec;no;3;e2;star;;;;;;q1;box;white;;
16;abs5;fully-spec;no;3;e3;star;;;;;q6;;box;white;;
16;proj1;under-spec;yes;2;e2;star;;;;;;q1;box;;;
16;proj3;under-spec;yes;2;e4;star;;;;;q4;;box;;;
16;proj5;under-spec;no;3;e2;star;small;;;;q6;;box;;;
17;abs1;fully-spec;no;3;e2;star;;;;q2;;;box;white;;
17;abs3;no-landmark;no;1;e2;star;colourless;;;;;;;;;
17;abs5;fully-spec;no;3;e3;star;;;;q6;;;box;white;;
17;proj1;fully-spec;no;3;e2;star;;;;q1;;;box;1st-top-bottom;;
17;proj3;under-spec;yes;2;e4;star;;;;;q4;;box;;;
17;proj5;no-landmark;no;1;e2;star;tilted,upside-down;;;;;;;;;
18;abs1;fully-spec;no;3;e2;star;;;;;q2;;box;white;;
18;abs3;fully-spec;no;3;e2;star;;;;;;q1;box;white;;
18;abs5;fully-spec;no;3;e3;star;;;;;q6;;box;white;;
18;proj1;under-spec;no;3;e2;star;;;;;;q1;box;white;;
18;proj3;under-spec;no;3;e4;star;;;;;q4;;box;white;;
18;proj5;under-spec;no;3;e2;star;;;;;q6;;box;white;;
19;abs1;fully-spec;no;3;e2;star;;;;q2;;;box;colourless;;
19;abs3;fully-spec;no;3;e2;star;;;;q1;;;box;colourless;;
19;abs5;fully-spec;no;3;e3;star;;;;q6;;;box;colourless;;
19;proj1;fully-spec;no;3;e2;star;;left;;;;q1;box;;;
19;proj3;under-spec;yes;2;e4;star;;;;q4;;;box;;;
19;proj5;fully-spec;no;3;e2;star;;right;;q6;;;box;;;
20;abs1;fully-spec;no;3;e2;star;;;;;q2;;box;white;;
20;abs3;fully-spec;no;3;e2;star;;;;;;q1;box;white;;
20;abs5;fully-spec;no;3;e3;star;;;;q6;;;box;white;;
20;proj1;under-spec;no;3;e2;star;;;;;;q1;box;white;;
20;proj3;under-spec;no;3;e4;star;;;;;q4;;box;white;;
20;proj5;under-spec;no;3;e2;star;;;;;q6;;box;white;;
21;abs1;fully-spec;no;3;e2;star;;;;;q2;;box;white;;
21;abs3;fully-spec;no;5;e2;star;;;;;;q1-c1;box;white;circle;white
21;abs5;fully-spec;no;3;e3;star;;;;;q6;;box;white;;
21;proj1;under-spec;no;3;e2;star;;;;;;q1;box;white;;
21;proj3;under-spec;no;3;e4;star;;;;;q4;;box;white;;
21;proj5;under-spec;no;3;e2;star;;;;;q6;;box;white;;
22;abs1;fully-spec;no;7;e2;star;colourless,tilted;right;;;q2-c1;;box;colourless;circle;colourless
22;abs3;fully-spec;no;4;e2;star;colourless,tilted;;;;;q1;box;colourless;;
22;abs5;fully-spec;no;4;e3;star;colourless;;;q6;;;box;colourless;;
22;proj1;fully-spec;no;4;e2;star;tilted;left;;q1;;;box;;;
22;proj3;under-spec;no;3;e4;star;colourless;;;q4;;;box;;;
22;proj5;fully-spec;no;5;e2;star;colourless;left;;;q6;;box;colourless;;
23;abs1;fully-spec;no;3;e2;star;;;;q2;;;box;white;;
23;abs3;fully-spec;no;3;e2;star;;;;q1;;;box;white;;
23;abs5;fully-spec;no;3;e3;star;;;;q6;;;box;white;;
23;proj1;under-spec;no;3;e2;star;;;;q1;;;box;white;;
23;proj3;under-spec;no;3;e4;star;;;;q4;;;box;white;;
23;proj5;under-spec;no;3;e2;star;;;;q6;;;box;white;;
24;abs1;fully-spec;no;6;e2;star;white;;;;q2-c1;;box;white;circle;white
24;abs3;fully-spec;no;6;e2;star;white;;;;;q1-c1;box;white;circle;white
24;abs5;fully-spec;no;6;e3;star;white;;;;q6-c2;;box;white;circle;white
24;proj1;under-spec;no;6;e2;star;white;;;;;q1-c1;box;white;circle;white
24;proj3;under-spec;no;6;e4;star;white;;;;q4-c2;;box;white;circle;white
24;proj5;under-spec;no;6;e2;star;white;;;;q6-c2;;box;white;circle;white
25;abs1;under-spec;no;3;e2;;;;;q2-c1;;;box;;circle;
25;abs3;under-spec;no;3;e2;;;;;q1-c1;;;box;;circle;
25;abs5;under-spec;no;3;e3;;;;;q6-c2;;;box;;circle;
25;proj1;under-spec;no;3;e2;;;;;q1-c1;;;box;;circle;
25;proj3;under-spec;no;3;e4;;;;;q4-c2;;;box;;circle;
25;proj5;under-spec;no;3;e2;;;;;q6-c2;;;box;;circle;
26;abs1;under-spec;yes;2;e2;star;;;;q2;;;box;;;
26;abs3;fully-spec;no;3;e2;star;;;;q1;;;box;white;;
26;abs5;under-spec;yes;2;e3;star;;;;q6;;;box;;;
26;proj1;under-spec;yes;2;e2;star;;;;q1;;;box;;;
26;proj3;under-spec;yes;2;e4;star;;;;q4;;;box;;;
26;proj5;under-spec;yes;2;e2;star;;;;q6;;;box;;;
27;abs1;fully-spec;no;3;e2;;;;;q2;;;box;white;;
27;abs3;fully-spec;no;3;e2;;;;;q1;;;box;white;;
27;abs5;fully-spec;no;3;e3;;;;;q6;;;box;white;;
27;proj1;fully-spec;no;4;e2;;;left;;q1;;;box;white;;
27;proj3;fully-spec;no;4;e4;;;right;;q4;;;box;white;;
27;proj5;fully-spec;no;4;e2;;;right;;q6;;;box;white;;
28;abs1;under-spec;no;4;e2;object;acute-angles;;;;q2;;object;acute-angles;;
28;abs3;under-spec;no;4;e2;object;acute-angles;;;q1;;;object;acute-angles;;
28;abs5;under-spec;no;4;e3;object;acute-angles;;;;q6;;object;acute-angles;;
28;proj1;under-spec;no;4;e2;object;acute-angles;;;q1;;;object;acute-angles;;
28;proj3;under-spec;no;4;e4;object;acute-angles;;;;q4;;object;acute-angles;;
28;proj5;under-spec;no;4;e2;object;acute-angles;;;;q6;;object;acute-angles;;
29;abs1;fully-spec;no;3;e2;;;;;q2;;;box;white;;
29;abs3;no-landmark;no;1;e2;;2nd-left-right;;;;;;;;;
29;abs5;no-landmark;no;1;e3;;3rd-left-right;;;;;;;;;
29;proj1;no-landmark;no;1;e2;;2nd-left-right;;;;;;;;;
29;proj3;no-landmark;no;1;e4;;3rd-left-right;;;;;;;;;
29;proj5;no-landmark;no;1;e2;;3rd-left-right;;;;;;;;;
30;abs1;fully-spec;no;3;e2;star;;;;q2;;;box;white;;
30;abs3;ambiguos;no;3;e2;star;;;;q1-c1;;;object;;object;
30;abs5;fully-spec;no;5;e3;star;;;;;q6-c2;;box;colourless;circle;white
30;proj1;fully-spec;no;5;e2;star;;left;top;;;q1;box;white;;
30;proj3;fully-spec;no;5;e4;star;;centre;centre;q4;;;box;white;;
30;proj5;under-spec;no;3;e2;star;;;;;q6;;box;white;;
31;abs1;under-spec;yes;2;e2;star;;;;;q2;;box;;;
31;abs3;under-spec;yes;2;e2;star;;;;;;q1;box;;;
31;abs5;under-spec;yes;2;e3;star;;;;;q6;;box;;;
31;proj1;under-spec;yes;2;e2;star;;;;;;q1;box;;;
31;proj3;under-spec;yes;2;e4;star;;;;;q4;;box;;;
31;proj5;under-spec;yes;2;e2;star;;;;;q6;;box;;;
32;abs1;fully-spec;no;3;e2;star;;;;q2;;;box;white;;
32;abs3;fully-spec;no;3;e2;star;;;;q1;;;box;not-red;;
32;abs5;fully-spec;no;3;e3;star;;;;q6;;;box;white;;
32;proj1;under-spec;no;4;e2;star;5-pointed;;;;;q1;box;;circle;
32;proj3;under-spec;no;4;e4;star;5-pointed;;;q4-c2;;;box;;circle;
32;proj5;fully-spec;no;3;e2;star;;;;q6;;;box;without-others-nearby;;
33;abs1;fully-spec;no;3;e2;star;;;;;q2;;box;colourless;;
33;abs3;under-spec;yes;2;e2;star;;;;q1;;;box;;;
33;abs5;under-spec;yes;2;e3;star;;;;;q6;;box;;;
33;proj1;under-spec;yes;2;e2;star;;;;q1;;;box;;;
33;proj3;under-spec;yes;2;e4;star;;;;;q4;;box;;;
33;proj5;under-spec;yes;2;e2;star;;;;;q6;;box;;;
34;abs1;fully-spec;no;5;e2;star;;;;q2-c1;;;box;white;circle;white
34;abs3;fully-spec;no;5;e2;star;;;;q1-c1;;;box;white;circle;white
34;abs5;fully-spec;no;5;e3;star;;;;q6-c2;;;box;white;circle;white
34;proj1;under-spec;no;3;e2;star;;;;q1-c1;;;box;;circle;
34;proj3;under-spec;no;3;e4;star;;;;q4-c2;;;box;;circle;
34;proj5;under-spec;no;3;e2;star;;;;q6-c2;;;box;;circle;
35;abs1;fully-spec;no;4;e2;star;white;;;q2;;;box;white;;
35;abs3;fully-spec;no;4;e2;star;white;;;q1;;;box;white;;
35;abs5;fully-spec;no;4;e3;star;white;;;q6;;;box;white;;
35;proj1;under-spec;no;3;e2;star;;;;q1;;;box;white;;
35;proj3;under-spec;no;3;e4;star;white;;;q4;;;box;;;
35;proj5;under-spec;no;4;e2;star;white;;;q6;;;box;white;;
36;abs1;fully-spec;no;6;e2;star;upside-down;;;q2-c1;;;box;white;circle;distant
36;abs3;under-spec;no;5;e2;star;upside-down;;;q1-c1;;;box;;circle;distant
