id;type;name;other;in;right-of;left-of;near-to;in-front-of;behind;have;northeast;northwest;southeast;southwest
theat1;theater;;;str1;pub1;;pub1,rest1;rest1;;;;;;
pub1;pub;;;;;theat1;theat1,rest1;;rest1;;;;;
rest1;restaurant;aqui ha peixe;;pos1, str2;;;theat1,pub1;theat1,pub1;;;;;;
cafe1;cafe;;;str3;drug1;;monu1,cafe2,drug1;;monu1,cafe2;;;;;
drug1;drugstore;;;str3;rest2;cafe1;cafe1,rest2,chur1,monu1;chur1;;;;;;monu1
rest2;restaurant;;;str3;sub1;drug1;drug1,sub1,chur1,park1;chur1;park1;;;;;
sub1;subway;baixa/chiado;;str3;rest2,chur2;ban1;ban1,chur2,rest5,rest2;rest5;;;;;;
monu1;monument;antonio ribeiro chiado;;str4;;;str5,cafe1;cafe1;;;;;;
chur1;church;;;;;monu1;monu1,cafe1,drug1,rest2;drug1;;;rest2;cafe1;;
cafe2;cafe;;;pos2,pos3,str4,str7;theat2,rest3;theat3,;theat2,theat3,theat4,rest3;;;;;;theat4;
rest3;restaurant;;;str6,str7,pos2,pos4;cafe2,;;gov1,cafe2,chur1;gov1;chur1;;;;;
theat2;theater;;;;;;theat3,theat4,cafe2;cafe2;theat3,theat4;;;;;
theat3;theater;;;;theat4;;theat2,theat4;theat2;;;;;;
theat4;theater;;;str5;theat3;;str4,theat2,theat3;theat2;;;;;;
rest4;restaurant;o sacramento;;;;;park1,chur2;;;;;park1,chur2;;
park1;park;chiado;;str8;;chur2;rest4,chur2;rest4;;;;;;
chur2;church;;;;park1;;rest4,park1;;;;;rest4;;
rest5;restaurant;taberna do chiado;;str3,str9,str10;;ban1;sub1,ban1;;sub1;;;;;
ban1;bank;;;str3,str10,pos5,pos6;sub1;chur3;sub1,chur3;;;;;;;
drug2;drugstore;internacional;;str11;drug3;;drug5,drug6,drug3;;drug5;;;;;drug6
drug3;drugstore;;;str11;drug4;drug2;str12,drug2,drug4,chur3,cafe3;chur3,cafe3;;;;;;
drug4;drugstore;cortez;;str11;;drug3;drug3,chur3,cafe3;cafe3,chur3;;;;;;
cafe3;cafe;;;str12,str13,pos7,pos8;drug3;chur3;drug3,chur3;;;;;;;
chur3;church;;;str12;cafe3;drug3;drug3,cafe3;;;;;;;
drug5;drugstore;barral;;;;drug6;drug2,drug6;;drug2;;;;;
drug6;drugstore;gouveia;;;drug5;;drug5;;;;;;;
str1;street;rua nova da trindade;;;;str2;theat1,str2,str5;;;theat1;;;;
str2;street;rua serpa pinto;;;;str1;rest1,pos1,str1,str3,str7;;;rest1,pos1;;;;
pos1;position;esquina da rua serpa pinto;;str2;;;rest1;;;rest1;;;;
str3;street;rua garret;;;;;cafe1,drug1,rest2,sub1,ban1,pos5,str2,str9,str10,str5,str4;;;cafe1,drug1,rest2,sub1,ban1,pos5;;;;
str4;street;largo do picadeiro;;;str2;str5;monu1,cafe2,pos3,str3,str7,str2,str5;;;monu1,cafe2,pos3;;;;
str5;street;rua antonio maria cardoso;;;;str4;theat4,str4,str3;;;theat4;;;;
str6;street;rua anchieta;;;str2;str9;rest3,pos4,str3,str7,str2,str9;;;rest3,pos4;;;;
str7;street;rua capelo;;;;;cafe2,pos2,rest3,str2,str6,str9,str4;;;cafe2,pos2,rest3;;;;
pos2;position;esquina da rua capelo;;str7;;;cafe2;;;cafe2;;;;
pos3;position;esquina do largo do picadeiro;;str4;;;cafe2,rest5;;;cafe2,rest5;;;;
pos4 ;position;esquina da rua anchieta;;str6;;;rest3;;;rest3;;;;
gov1;building;governo civil;;str7;;;rest3;rest3;;;;;;
str8;street;largo do carmo;;;;;park1;;;park1;;;;
str9;street;rua ivens;;;str6;str10;rest5,str6,str10;;;rest5;;;;
str10;street;rua nova do almada;;;str14;;ban1,pos6,rest5,str14;;;ban1,pos6,rest5;;;;
pos5;position;esquina da rua garret;;str3;;;ban1;;;ban1;;;;
pos6;position;esquina da nova do almada;;str10;;;ban1;;;ban1;;;;
str11;street;rua do ouro;;;str14;str13;drug2,drug3,drug4,str13,str14,str12,str15;;;drug2,drug3,drug4;;;;
str12;street;rua da vitoria;;;str15;;cafe3,pos7,str13,str11,str15,str14;;;cafe3,pos7;;;;
str13;street;rua dos sapateiros;;;str11;;chur3,pos8,str11,str12,str15;;;chur3,pos8;;;;
pos7;position;esquina da rua da vitoria;;str12;;;cafe3;;;cafe3;;;;
pos8;position;esquina da rua dos sapateiros;;str13;;;;;;;;;;
str14;street;rua do crucifixo;;;str10;str11;str10,str11,str15,str12;;;;;;;
str15;street;rua da assuncao;;;;str12;str11,str13,str12;;;;;;;
