id;type;name;other;in;right-to;left-to;between;next-to;in-front-of;behind;have;northeast;northwest;southeast;southwest
rest2;restaurant;vitaminas garret;;str3;sub1;drug1;[sub1,drug1];drug1,sub1,chur1;;;;chur1;rest5;;
rest4;restaurant;o sacramento;;str16;;;;park1,chur2;park1;;;;chur2;;
rest5;restaurant;taberna do chiado;;;;;[str3,str9,str10];sub1,ban1;;sub1;;;ban1;;
park1;park;chiado;;str19;;chur2;;rest4,chur2;rest4;;;;;;
drug1;drugstore;farmacia durao;;str3;rest2;cafe1;[rest2,cafe1];rest2,chur1,str2;chur1;;;;;;
chur1;church;;;;;;[str2,str6,str3];drug1,rest2;drug1;;;rest2;;;
chur2;church;;;str16;park1;;;rest4,park1;;;;;rest4;;
chur3;church;;;;;;;str14;;;;;;;
sub1;subway;baixa/chiado;;str3;;ban1,rest2;;ban1,rest5,rest2;rest5;;;;;;
ban1;bank;;;str3,str10,pos5,pos6;sub1;chur3;[str3,str10,str22]-[sub1,chur3];sub1,chur3;;;;;;;
str2;street;rua serpa pinto;;;;;;str3;;;;;;;
str3;street;rua garret;;;;;;drug1,rest2,sub1,ban1,pos5,str2,str9,str10;;;drug1,rest2,sub1,ban1,pos5;;;;
str6;street;rua anchieta;;;str2;str9;[str2,str9];str3,str2,str9;;;chur1;;;;
str9;street;rua ivens;;;str6;str10;[str6,str10];rest5,str6,str10,sid1;;;rest5;;;;
str10;street;rua nova do almada;;;str14;;;ban1,pos6,rest5,str14,sid1;;;ban1,pos6,rest5;;;;
str11;street;rua do ouro;;;str14;;;str14,str15;;;;;;;
str14;street;rua do crucifixo;;;str10;str11;[str10,str11];str10,str11,str15;;;;;;;
str15;street;rua da assuncao;;;;;;str11;;;;;;;
str16;street ;calcada do sacramento;;;;;;;;;rest4,chur2;;;;
str19;street;rua almirante pessanha;;;;;;;;;park1;;;;
str20;street;rua de sao nicolau;;;;;;;;;;;;;
pos5;position;esquina da rua garret;;str3;;;;ban1;;;ban1;;;;
pos6;position;esquina da nova do almada;;str10;;;;ban1;;;ban1;;;;
sid1;sidewalk;calcada nova de sao francisco;;;;;[str9,str10];rest5,str9,str10;;;;;;;
