id;type;name;other;in;right-of;left-of;between/corner;near-to;in-front-of;behind;d1.id;d1.type;d1.name;d1.other;d2.id;d2.type;d2.name;d2.other;d3.id;d3.type;d3.name;d3.other;d4.id;d4.type;d4.name;d4.other;;id;type;name;other;in;right-of;left-of;between/corner;near-to;in-front-of;behind;d1.id;d1.type;d1.name;d1.other;d2.id;d2.type;d2.name;d2.other;d3.id;d3.type;d3.name;d3.other;d4.id;d4.type;d4.name;d4.other
rest3;restaurant;;;;;;[d1,d2];;;;str6;street;rua anchieta;;str7;street;rua capelo;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;restaurant;;;d1;;;;;;;str6;street;rua anchieta;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;restaurant;;;;;;;d1;;;chur1;church;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;church;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;restaurant;;;d1;;;;d2;;;str6;street;;;chur1;church;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;restaurant;;;d1;;;;;;;str7;street;rua capelo;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;restaurant;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;restaurant;;;;;;[d1,d2];;;;str6;street;rua anchieta;corner;str7;street;rua capelo;corner;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;restaurant;;;d1;;;;;;;str6;street;rua anchieta;corner;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;restaurant;;;;;;[d1,d2];;;;str7;street;rua capelo;corner;str6;street;rua anchieta;corner;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;restaurant;;;;;;[d1,d2];;;;str7;street;rua capelo;corner;str6;street;rua anchieta;corner;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;;;;;;;[d1,d2];;;;str7;street;rua capelo;corner;str6;street;rua anchieta;corner;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;restaurant;;;d2;;;;d1;;;chur1;church;;;str7;street;rua capelo;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;restaurant;;;;;;[d1,d2];;;;str6;street;rua anchieta;;str7;street;rua capelo;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;restaurant;;;d1;;;;;;;str6;street;rua anchieta;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;restaurant;;;;;;[d1,d2];d3;;;str6;street;rua anchieta;corner;str7;street;rua capelo;corner;chur1;church;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;restaurant;;;;;;[d1,d2];;;;str7;street;rua capelo;;str6;street;rua anchieta;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;;;;d1;;;;;;;str7;street;rua capelo;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;restaurant;;;;;;[d1,d2];;;;str6;street;rua anchieta;corner;str7;street;rua capelo;corner;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
rest3;restaurant;;;;;;[d1,d2];d3;;;str6;street;rua anchieta;;str7;street;rua capelo;corner;gov1;;governo civil;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;cafe;;;d1;;;;;;;str3;street;rua garret;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;cafe;;;d1;;;;;;;str3;street;rua garret;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;cafe;;;d1;;;;;;;str3;street;rua garret;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;cafe;;;;;;;d1;;;monu1;;antonio ribeiro chiado;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;cafe;;;;;;;d1;;;str2;street;rua serpa pinto;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;cafe;aurora;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;cafe;;;d1;;;;d2;;;str4;;largo do picadeiro;;str3;street;garret;corner;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;cafe;;;d1;;;;;;;str1;street;rua nova da trindade;calcadao;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;cafe;;;d1;;;;d2;;;str3;street;rua garret;;str2;street;rua serpa pinto;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;cafe;;;;;;;d1;;;monu1;;antonio ribeiro chiado;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;cafe;;;;;;;;;d1;monu1;;antonio ribeiro chiado;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;cafe;;;d1;;;[d2,d3];;;;str3;street;rua garret;;str1;;rua nova da trindade;;str2;;rua serpa pinto;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;cafe;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;cafe;;;d1;;;;;;;str3;street;rua garret;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;cafe;;;;;;[d1,d2];;;;str3;street;rua garret;end;str4;street;largo do picadeiro;beginning;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;cafe;;;;;;[d2,d3];;d1;;monu1;square;antonio ribeiro chiado;;str1;street;rua nova da trindade;;str2;street;rua serpa pinto;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;cafe;;;;;;;d1;;;monu1;;antonio ribeiro chiado;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
cafe1;cafe;;;d1;;;;;d2;;str3;street;rua garret;;monu1;;antonio ribeiro chiado;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;;;;;;d1;;;chur3;church;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;;;;;[d1,d2];;;;str11;street;rua do ouro;corner;str12;street;rua da vitoria;corner;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;;;;;[d1,d2];;;;str11;street;rua do ouro;corner;str12;street;rua da vitoria;corner;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;;;;;[d1,d2];;;;str11;street;rua do ouro;corner;str12;street;rua da vitoria;corner;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;NOT d3, NOT d4;d1;;;;d2;;;str11;street;rua do ouro;;chur3;cemitery;;;drug2;;internacional;;drug4;;cortez;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;;;;;[d1,d2];;;;str11;street;rua do ouro;corner;str12;street;rua da vitoria;corner;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;;;;;[d1,d2];d3;;;str11;street;rua do ouro;corner;str12;street;rua da vitoria;corner;chur3;church;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;;d1;;;[d2,d3];;;;str11;street;rua do ouro;;drug2;drugstore;internacional;;drug4;drugstore;cortez;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;;;;;[d1,d2];;;;str12;street;rua da vitoria;;str11;street;rua do ouro;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
drug3;drugstore;;;d1;;;;d2;;;str11;street;rua do ouro;;str12;street;rua da vitoria;corner;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;church;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;church;;;d1;;;;;;;str14;street;rua do crucifixo;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;church;;;;;;;d1;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;drugstore;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;church;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;church;;;d1;;;;;;;str11;street;rua do ouro;corner;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;church;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;church;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;church;;;d1;;;[d2,d3];;;;str12;street;rua da vitoria;;str11;street;rua do ouro;;str14;street;rua do crucifixo;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;church;;;d1;;;;;;;str14;street;rua do crucifixo;corner;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;church;;;d1;;;[d2,d3];;;;str12;street;rua da vitoria;;str11;street;rua do ouro;;str14;street;rua do crucifixo;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;cemitery;;;;;;;d1;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;church;;;d1;;;[d2,d3];;;;str12;street;rua da vitoria;;str11;street;rua do ouro;;str14;street;rua do crucifixo;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;church;;;;;;;d1;;;str11;street;rua do ouro;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;church;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;church;;;d1;;;;;;;str12;street;rua da vitoria;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;church;;;d2;;;;d1,d2;;;str11;street;rua do ouro;;str12;street;rua da vitoria;;rest5;;taberna do chiado;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;church;;;d1;;;;;;;str12;street;rua da vitoria;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;church;;;d1;;;;;;;str14;street;rua do crucifixo;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;church;;;d1;;;;d2;;;str12;street;rua da vitoria;;str14;street;rua do crucifixo;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur3;church;;;d1;;;;d2;;;str12;street;rua da vitoria;;str11;street;rua do ouro;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;bar;;;;;;;;d1;;rest1;;aqui ha peixe;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;pub;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;pub;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;restaurant;aqui ha peixe;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;pub;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;pub;;;;;;;d1;;;rest1;;aqui ha peixe;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;pub;;;;;;;d1;;;str1;street;rua nova da trindade;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;pub;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;pub;;;;;;;;d1;;rest1;restaurant;aqui ha peixe;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;pub;;;;;;;;d1;;rest1;restaurant;aqui ha peixe;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;pub;;;d1;;;;d2;;;str2;street;rua serpa pinto;end;rest1;restaurant;aqui ha peixe;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;pub;;;d1;;;;d2;;;str2;street;rua serpa pinto;end;str1;street;rua nova da trindade;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;pub;;;d1;;;;d2;;;str2;street;rua serpa pinto;beginning;rest1;;aqui ha peixe;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;pub;;;;;;;d1;;;str1;street;rua nova da trindade;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;pub;;;;;;;;;;;;;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;pub;;;;;;;;d1;;str2;street;rua serpa pinto;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;pub;;;d2;;;;d1;;;rest1;restaurante;aqui ha peixe;;str2;street;rua serpa pinto;beginning;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;pub;;;;;;[d1,d2];d1;;;rest1;restaurant;aqui ha peixe;;str1;street;rua nova da trindade;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;pub;;;d1;;;;;;;str1;street;rua nova da trindade;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;pub;;;;;;;;d1;;str2;street;rua serpa pinto;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
pub1;pub;;;;;;;d1;;;rest1;restaurant;aqui ha peixe;;;;;;;;;;;;;;/;;;;;;;;;;;;;;;;;;;;;;;;;;;
chur2;cemitery;;;;;;;;d1;;rest4;restaurant;o sacramento;;;;;;;;;;;;;;/;chur3;cemitery;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;
chur2;church;;;;;;;d1;;;park1;park;parque do chiado;;;;;;;;;;;;;;/;chur3;;;;;;;;;;;;;;;;;;;;;;;;;;
chur2;church;;;;;;;;;;;;;;;;;;;;;;;;;;/;chur3;church;;;;;;;;;;;;;;;;;;;;;;;;;
chur2;;;;;;;;;;;;;;;;;;;;;;;;;;;/;chur3;;;;;;;;;;;;;;;;;;;;;;;;;;
chur2;church;;;;;;;;;;;;;;;;;;;;;;;;;;/;chur3;church;;;;;;;;;;;;;;;;;;;;;;;;;
chur2;church;;;;;;;d1;;;sub1;;baixa/chiado;;;;;;;;;;;;;;/;chur3;church;;;;;;;d1;;;sub1;;baixa/chiado;;;;;;;;;;;;;
chur2;church;;;;;;;d1;;;park1;park;parque chiado;;;;;;;;;;;;;;/;chur3;church;;;;;;;d1;;;park1;park;parque chiado;;;;;;;;;;;;;
chur2;;;;;;;;;;;;;;;;;;;;;;;;;;;/;chur3;;;;;;;;;;;;;;;;;;;;;;;;;;
chur2;church;;;;d1;d1;;;;;park1;park;parque chiado;;;;;;;;;;;;;;/;chur3;;;;;;;;;;;;;;;;;;;;;;;;;;
chur2;church;;;;;;;;d1;;park1;park;parque chiado;;;;;;;;;;;;;;/;chur3;;;;;;;;;;;;;;;;;;;;;;;;;;
chur2;church;;;d1;;;;;;;park1;park;parque chiado;;;;;;;;;;;;;;/;chur3;church;;;;;;[d1,d2];;;;str11;street;rua do ouro;;str14;street;rua do crucifixo;;;;;;;;;
chur2;cemitery;;;;;;;;;;;;;;;;;;;;;;;;;;/;chur3;;;;;;;;;;;;;;;;;;;;;;;;;;
chur2;church;;;;;;;d1;;;sub1;;baixa/chiado;;;;;;;;;;;;;;/;chur3;church;;;;;;;d1;;;sub1;;baixa/chiado;;;;;;;;;;;;;
chur2;church;;;;;;;d1;;;sub1;;baixa/chiado;;;;;;;;;;;;;;/;chur3;church;;;d1;;;;;;;str11;street;rua do ouro;;;;;;;;;;;;;
chur2;church;;;d1;;;;;;;neig1;;chiado;;;;;;;;;;;;;;/;chur3;church;;;d1;;;;;;;neig1;;chiado;;;;;;;;;;;;;
chur3;church;;;d1;;;;;;;str12;street;rua da vitoria;;;;;;;;;;;;;;/;chur2;church;;;;;;;d1;;;park1;park;parque chiado;;;;;;;;;;;;;
chur2;church;;;d1;;;;;;;sub1;;baixa/chiado;;;;;;;;;;;;;;/;chur3;church;;;;;;;d1;;;str11;street;rua do ouro;;;;;;;;;;;;;
chur2;;;;;;;;;;;;;;;;;;;;;;;;;;;/;chur3;;;;;;;;;;;;;;;;;;;;;;;;;;
chur2;church;;;d1;;;;d2;;;park1;park;parque chiado;;rest4;;sacramento;;;;;;;;;;/;chur3;;;;;;;;;;;;;;;;;;;;;;;;;;
