id;type;name;in;right-of;left-of;between/corner;near-to;in-front-of;behind;d1.type;d1.name;d2.type;d2.name;d3.type;d3.name;d4.type;d4.name
rest3;restaurant;;;;;d1 with d2;;;;street;rua anchieta;street;rua capelo;;;;
rest3;restaurant;;d1;;;;;;;street;rua anchieta;;;;;;
rest3;restaurant;;;;;;d1;;;church;;;;;;;
rest3;church;;;;;;;;;;;;;;;;
rest3;;;;;;;;;;;;;;;;;
rest3;restaurant;;d1;;;;d2;;;street;;church;;;;;
rest3;restaurant;;d1;;;;;;;street;rua capelo;;;;;;
rest3;restaurant;;;;;;;;;;;;;;;;
rest3;restaurant;;;;;d1 with d2;;;;street;rua anchieta;street;rua capelo;;;;
rest3;restaurant;;d1;;;d1;;;;street;rua anchieta;;;;;;
rest3;restaurant;;;;;d1 with d2;;;;street;rua anchieta;street;rua capelo;;;;
rest3;restaurant;;;;;d1 with d2;;;;street;rua anchieta;street;rua capelo;;;;
rest3;;;;;;d1 with d2;;;;street;rua anchieta;street;rua capelo;;;;
rest3;restaurant;;d2;;;;d1;;;church;;street;rua capelo;;;;
rest3;restaurant;;;;;d1 with d2;;;;street;rua anchieta;street;rua capelo;;;;
rest3;restaurant;;d1;;;;;;;street;rua anchieta;;;;;;
rest3;restaurant;;;;;d1 with d2;d3;;;street;rua anchieta;;rua capelo;church;;;
rest3;restaurant;;;;;d1 with d2;;;;street;rua anchieta;street;rua capelo;;;;
rest3;;;d1;;;;;;;street;rua capelo;;;;;;
rest3;restaurant;;;;;d1 with d2;;;;street;rua anchieta;street;rua capelo;;;;
rest3;restaurant;;;;;d1 with d2;d3;;;street;rua anchieta;street;rua capelo;;governo civil;;
cafe1;cafe;;d1;;;;;;;street;rua garret;;;;;;
cafe1;cafe,place;;d1;;;;;;;street;rua garret;;;;;;
cafe1;cafe;;d1;;;;;;;street;rua garret;;;;;;
cafe1;;;;;;;;;;;;;;;;;
cafe1;;;;;;;;;;;;;;;;;
cafe1;cafe;;;;;;d1;;;monument;antonio ribeiro chiado;;;;;;
cafe1;cafe;;;;;;d1;;;street;rua serpa pinto;;;;;;
cafe1;cafe;aurora;;;;;;;;;;;;;;;
cafe1;cafe;;d1;;;d2;d2;;;;largo do picadeiro;street;garret;;;;
cafe1;cafe;;d1;;;;;;;street;nova da trindade;;;;;;
cafe1;cafe;;d1;;;;d2;;;street;rua garret;street;rua serpa pinto;;;;
cafe1;cafe;;;;;;d1;;;;antonio ribeiro chiado;;;;;;
cafe1;cafe;;;;;;;;d1;;antonio ribeiro chiado;;;;;;
cafe1;cafe;;d1;;;d2 with d3;;;;street;rua garret;;rua nova trindade;rua serpa pinto;;;
cafe1;cafe;;;;;;;;;;;;;;;;
cafe1;cafe;;d1;;;;;;;street;rua garret;;;;;;
cafe1;cafe;;;;;d1 with d2;;;;street;rua garret;;largo do picadeiro;;;;
cafe1;cafe;;;;;d2 with d3;;d1;;monument;antonio ribeiro chiado;street;rua nova da trindade;street;rua serpa pinto;;
cafe1;;;;;;;;;;;;;;;;;
cafe1;cafe;;;;;;d1;;;;antonio ribeiro chiado;;;;;;
cafe1;cafe;;d1;;;;;d2;;street;rua garret;;antonio ribeiro chiado;;;;
drug3;drugstore;;d1;;;;;;;street;rua do ouro;;;;;;
drug3;drugstore;;d1;;;;;;;street;rua do ouro;;;;;;
drug3;drugstore;;;;;;d1;;;church;;;;;;;
drug3;;;;;;;;;;;;;;;;;
drug3;drugstore;;;;;;;;;;;;;;;;
drug3;drugstore;;d1;;;;;;;street;rua do outro;;;;;;
drug3;drugstore;;d1;;;;;;;street;rua do ouro;;;;;;
drug3;drugstore;;;;;;;;;;;;;;;;
drug3;drugstore;;;;;d1 with d2;;;;street;rua do ouro;street;rua da vitoria;;;;
drug3;drugstore;;;;;d1 with d2;;;;street;rua do ouro;street;rua da vitoria;;;;
drug3;drugstore;;;;;d1 with d2;;;;street;rua do ouro;street;rua da vitoria;;;;
drug3;drugstore;;d3;;;;d4;;;;Internacional;;Cortez;street;rua do ouro;cemitery;
drug3;drugstore;;;;;d1 with d2;;;;street;rua do ouro;street;rua da vitoria;;;;
drug3;drugstore;;d1;;;;;;;street;rua do ouro;;;;;;
drug3;drugstore;;;;;;;;;;;;;;;;
drug3;drugstore;;d1;;;;;;;street;rua do ouro;;;;;;
drug3;drugstore;;;;;d1 with d2;d3;;;street;rua do ouro;street;rua da vitoria;church;;;
drug3;drugstore;;d1;;;d2 with d3;;;;street;rua do ouro;drugstore;internacional;drugstore;cortez;;
drug3;drugstore;;d1;;;;;;;street;rua do ouro;;;;;;
drug3;drugstore;;;;;d1 with d2;;;;street;rua da vitoria;street;rua do ouro;;;;
chur3;church;;d1;;;;;;;street;rua do ouro;;;;;;
chur3;church;;d1;;;;;;;street;rua do crucifixo;;;;;;
chur3;church;;;;;;d1;;;street;rua do ouro;;;;;;
chur3;drugstore;;;;;;;;;;;;;;;;
chur3;church;;;;;;;;;;;;;;;;
chur3;church;;d1;;;;;;;street;rua do ouro;;;;;;
chur3;church;;d1;;;;;;;street;rua do ouro;;;;;;
chur3;church;;;;;;;;;;;;;;;;
chur3;church;;d1;;;d2 with d3;;;;street;rua da vitoria;street;rua do ouro;street;rua do crucifixo;;
chur3;church;;d1;;;;;;;street;rua do crucifixo;;;;;;
chur3;church;;d1;;;d2 with d3;;;;street;rua da vitoria;street;rua do ouro;street;rua do crucifixo;;
chur3;cemitery;;;;;;d1;;;street;rua do ouro;;;;;;
chur3;church;;d1;;;d2 with d3;;;;street;rua da vitoria;street;rua do ouro;street;rua do crucifixo;;
chur3;church;;;;;;d1;;;street;rua do ouro;;;;;;
chur3;church;;;;;;;;;;;;;;;;
chur3;church;;d1;;;;;;;street;rua da vitoria;;;;;;
chur3;church;;d2;;;;d1,d2;;;street;rua do ouro;street;rua da vitoria;taberna;taberna do chiado;;
chur3;church;;d1;;;;;;;street;rua da vitoria;;;;;;
chur3;church;;d1;;;;;;;street;rua do crucifixo;;;;;;
chur3;church;;d1;;;;d2;;;street;rua da vitoria;street;rua do crucifixo;;;;
chur3;church;;d1;;;;d2;;;street;rua da vitoria;street;rua do ouro;;;;
pub1;bar;;;;;;;d1;;;aqui ha peixe;;;;;;
pub1;pub;;;;;;;;;;;;;;;;
pub1;pub;;;;;;;;;;;;;;;;
pub1;restaurant;aqui ha peixe;;;;;;;;;;;;;;;
pub1;pub;;;;;;;;;;;;;;;;
pub1;pub;;;;;;d1;;;;aqui ha peixe;;;;;;
pub1;pub;;;;;;d1;;;street;nova da trindade;;;;;;
pub1;pub;;;;;;;;;;;;;;;;
pub1;pub;;;;;;;d1;;restaurant;aqui ha peixe;;;;;;
pub1;pub;;;;;;;d1;;restaurant;aqui ha peixe;;;;;;
pub1;pub;;d1;;;;d2;;;street;rua serpa pinto;restaurant;aqui ha peixe;;;;
pub1;pub;;d1;;;;d2;;;street;rua serpa pinto;street;nova da trindade;;;;
pub1;pub;;d1;;;;d2;;;street;rua serpa pinto;;aqui ha peixe;;;;
pub1;pub;;;;;;d1;;;street;nova da trindade;;;;;;
pub1;pub;;;;;;;;;;;;;;;;
pub1;pub;;;;;;;d1;;street;rua serpa pinto;;;;;;
pub1;pub;;d1;;;;d2;;;street;rua serpa pinto;restaurante;aqui ha peixe;;;;
pub1;pub;;;;;d1 with d2;d1;;;restaurant;aqui ha peixe;street;nova da trindade;;;;
pub1;pub;;d1;;;;;;;street;nova da trindade;;;;;;
pub1;pub;;;;;;;d1;;street;rua serpa pinto;;;;;;
pub1;pub;;;;;;d1;;;restaurant;aqui ha peixe;;;;;;
